Bahamas ,,,,,
Travel guide info for Bahamas,,,,,
Brazil,Tancredo Neves Intl,Belo Horizonte,BR,316,CNF
Brazil,Campinas Intl,Campinas,BR,316,CPQ
Brazil,Campina Grande Airport,Campina Grande,BR,316,CPV
Brazil,Afonso Pena,Curitiba ,,,
Travel guide info for Curitiba,BR,316,CWB,,
Brazil,Campo Dos Bugres,Caxias Do Sul,BR,316,CXJ
Brazil,Campo Intl,Cruzeiro Do Sul,BR,316,CZS
Brazil,Dourados Airport,Dourados,BR,316,DOU
Brazil,Erechim Airport,Erechim,BR,316,ERM
Brazil,Eirunepe Airport,Eirunepe,BR,316,ERN
Brazil,Fernando De Noron,Fernando De Noron,BR,316,FEN
Brazil,Hercilio Luz,Florianopolis ,,,
Travel guide info for Florianopolis,BR,316,FLN,,
Brazil,Pinto Martins,Fortaleza ,,,
Travel guide info for Fortaleza,BR,316,FOR,,
Brazil,Sepe Tiaraju Airport,Santo Angelo,BR,316,GEL
Brazil,Rio Janeiro Intl,Rio De Janeiro ,,,
Travel guide info for Rio De Janeiro,BR,316,GIG,,
Brazil,Guarulhos Intl,Sao Paulo ,,,
Travel guide info for Sao Paulo,BR,316,GRU,,
Brazil,Governador Valadares Airport,Governador Valadares,BR,316,GVR
Brazil,Santa Genoveva,Goiania ,,,
Travel guide info for Goiania,BR,316,GYN,,
Brazil,Cataratas,Iguassu Falls,BR,316,IGU
Brazil,Imperatriz,Imperatriz,BR,316,IMP
Brazil,Eduardo Gomes,Ilheus,BR,316,IOS
Brazil,Usiminas Airport,Ipatinga,BR,316,IPN
Brazil,Itacoiatiara Airport,Itacoiatiara,BR,316,ITA
Brazil,Itaituba Airport,Itaituba,BR,316,ITB
Brazil,Joacaba Airport,Joacaba,BR,316,JCB
Brazil,Francisco Alvares de Assis Airport,Juiz de Fora,BR,316,JDF
Brazil,Cariri Regional Airport,Juazeiro do Norte,BR,316,JDO
Brazil,Sao Joao Del Rei Airport,Sao Joao Del Rei,BR,316,JDR
Brazil,Cubatao,Joinville ,,,
Travel guide info for Joinville,BR,316,JOI,,
Brazil,Castro Pinto,Joao Pessoa,BR,316,JPA
Brazil,Ji-Paran Airport,Ji-Paran,BR,316,JPR
Brazil,Lages Airport,Lages,BR,316,LAJ
Brazil,Labrea Airport,Labrea,BR,316,LBR
Brazil,Londrina Airport,Londrina,BR,316,LDB
Brazil,Lencois Chapada Diamantina Airport,Lencois,BR,316,LEC
Brazil,Maraba,Maraba,BR,316,MAB
Brazil,Manaus,Manaus,BR,316,MAO
Brazil,Macapa Intl,Macapa,BR,316,MCP
Brazil,Palmares,Maceio,BR,316,MCZ
Brazil,Macae Airport,Macae,BR,316,MEA
Brazil,Maringa Regional Airport,Maringa,BR,316,MGF
Brazil,Dr Gastao Vidigal,Marilia,BR,316,MII
Brazil,Montes Claros,Montes Claros,BR,316,MOC
Brazil,Minacu Municipal Airport,Minacu,BR,316,MQH
Brazil,Mucuri Airport,Mucuri,BR,316,MVS
Brazil,Augusto Severo,Natal ,,,
Travel guide info for Natal,BR,316,NAT,,
Brazil,Niquelandia,Niquelandia,BR,316,NQL
Brazil,Navegantes,Navegantes,BR,316,NVT
Brazil,Cacoal,Cacoal,BR,316,OAL
Brazil,Ourilandia Airport,Ourilandia,BR,316,OIA
Brazil,Sinop Airport,Sinop,BR,316,OPS
Brazil,Pelotas Intl Airport,Pelotas,BR,316,PET
Brazil,Passo Fundo,Passo Fundo,BR,316,PFB
Brazil,Parintins,Parintins,BR,316,PIN
Brazil,Pampulha,Belo Horizonte ,,,
Travel guide info for Belo Horizonte,BR,316,PLU,,
Brazil,Palmas Airport,Palmas,BR,316,PMW
Brazil,Petrolina Intl,Petrolina,BR,316,PNZ
Brazil,Salgado Filho,Porto Alegre ,,,
Travel guide info for Porto Alegre,BR,51,POA,,
Brazil,Patos de Minas Airport,Patos de Minas,BR,316,POJ
Brazil,Adhemar de Barros Airport,Presidente Prudente,BR,316,PPB
Brazil,Belmonte,Porto Velho,BR,316,PVH
Brazil,Leite Lopes,Ribeirao Preto,BR,316,RAO
Brazil,Pres Medici,Rio Branco,BR,316,RBR
Brazil,Guararapes Intl,Recife ,,,
Travel guide info for Recife,BR,316,REC,,
Brazil,Santa Maria Airport,Santa Maria,BR,316,RIA
Brazil,Rio Grande,Rio Grande,BR,316,RIG
Brazil,All Airports,Rio de Janeiro,BR,316,RIO
Brazil,Rondonopolis Airport,Rondonopolis,BR,316,ROO
Brazil,Rio Verde,Rio Verde,BR,316,RVD
Brazil,Sao Paulo,Sao Paulo,BR,316,SAO
Brazil,Rio De Janeiro Santos Dumont Airport,Rio De Janeiro ,,,
Travel guide info for Rio De Janeiro,BR,316,SDU,,
Brazil,Sao Jose dos Campos Airport,Sao Jose dos Campos,BR,316,SJK
Brazil,Sao Gabriel Airport,Sao Gabriel,BR,316,SJL
Brazil,Sao Jose Do Rio Preto Airport,Sao Jose Do Rio Preto,BR,316,SJP
Brazil,Sao Luiz Airport,Sao Luiz,BR,316,SLZ
Brazil,Santa Rosa Airport,Santa Rosa Airport,BR,316,SRA
Brazil,Salvador Airport,Salvador,BR,316,SSA
Brazil,Santarem Airport,Santarem,BR,316,STM
Brazil,Tabatinga Airport,Tabatinga,BR,316,TBT
Brazil,Tefe Airport,Tef,BR,316,TFF
Brazil,Teresina Airport,Teresina,BR,316,THE
Brazil,Trombetas,Trombetas,BR,316,TMT
Brazil,Tucurui,Tucurui,BR,316,TUR
Brazil,Uberaba,Uberaba,BR,316,UBA
Brazil,Una Airport,Ilha Comandatuba/Una,BR,316,UNA
Brazil,Uruguaiana,Uruguaiana,BR,316,URG
Brazil,Varginha,Varginha,BR,316,VAG
Brazil,Sao Paulo Viracopos,Campinas,BR,316,VCP
British Virgin Islands,,,,,
British Virgin Islands,Beef Island,Beef Island,VG,282,EIS
British Virgin Islands,Virgin Gorda Airport,Virgin Gorda,VG,282,VIJ
Brunei,,,,,
Brunei,Brunei Intl,Bandar Seri Begawan,,,
Travel guide info for Bandar Seri Begawan,BN,704,BWN,,
Bulgaria ,,,,,
Travel guide info for Bulgaria,,,,,
Bulgaria,Bourgas,Bourgas,BG,411,BOJ
Bulgaria,Plovdiv Airport,Plovdiv,BG,411,PDV
Bulgaria,Sofia Airport,Sofia ,,,
Travel guide info for Sofia,BG,411,SOF,,
Bulgaria,Varna Airport,Varna ,,,
Travel guide info for Varna,BG,411,VAR,,
Burkina Faso,,,,,
Burkina Faso,Bobo Dioulasso Airport,Bobo Dioulasso,BF,593,BOY
Burkina Faso,Ouagadougou,Ouagadougou,BF,226,OUA
Burundi,,,,,
Burundi,Bujumbura Intl,Bujumbura,BI,503,BJM
